id,nameRu,nameEn
cmn7ked4b00454kvmjgue9foh,Имбирь сухой,Ground ginger
cmn7kck40000o4kvmzpokoyx4,Индейка,Turkey
cmo6sl2xe003vedlxj79o3bi5,Инжир,Fig
cmn7kc9ot00044kvm6j8ophxo,Йогурт,Yogurt
cmn7kcz7d001h4kvmepz2qznl,Кабачок,Zucchini
cmn7keqk3004v4kvmfws57dpg,Какао,Cocoa
cmn7kcrdr00124kvm5hk57mco,Кальмар,Squid
cmo6sl1r3000kedlxypdedpga,Камамбер,Camembert
cmo6sl4e40084edlxxs4wy1od,Каперсы,Capers
cmo6sl3ud006hedlxvxcazng8,Кардамон,Cardamom
cmn7kebkl00424kvm402gt3vx,Карри,Curry
cmn7kcth400164kvmekewjh86,Картофель,Potato
cmn7kelhw004l4kvmlhepgzs7,Кедровые орехи,Pine nuts
cmn7ke1p1003j4kvmjy3t1fvh,Кетчуп,Ketchup
cmn7kca7l00054kvmhn0mh5zw,Кефир,Kefir
cmn7kem0d004m4kvml0ikkodo,Кешью,Cashew
cmn7kdhxs002h4kvm9nrt67kn,Киви,Kiwi
cmn7keg6a004b4kvmbbi5uqrn,Кинза,Cilantro
cmo6sl337004bedlxz3nobwf9,Киноа,Quinoa
cmn7kesl8004z4kvmacp11vh2,Кленовый сироп,Maple syrup
cmn7kdbqq00254kvm8w3wq2mp,Клубника,Strawberry
cmo6sl1rr000medlxwhb58il5,Козий сыр,Goat cheese
cmo6sl2xr003wedlxivlzhyzm,Кокос,Coconut
cmo6sl48g007nedlx2klc9j3m,Кокосовая стружка,Coconut flakes
cmn7kdzlt003f4kvmo3fp5z4n,Кокосовое масло,Coconut oil
cmo6sl1sg000oedlxkkei1n6f,Кокосовое молоко,Coconut milk
cmn7kclmq000r4kvmbqp55j7f,Колбаса,Sausage
cmn7ke8gw003w4kvmf4oyx1dl,Кориандр,Coriander
cmn7ke9hz003y4kvmx15ly29t,Корица,Cinnamon
cmo6sl4ff0088edlx0y1x2hcj,Кофе,Coffee
cmn7kcsfv00144kvmgxehx37i,Крабовые палочки,Crab sticks
cmn7kcsyd00154kvm7yd4jcl3,Красная икра,Red caviar
cmn7kdqsk002y4kvm38grmp37,Красная фасоль,Red beans
cmo6sl2kt002wedlx7q8exwgc,Красный лук,Red onion
cmn7ke6xu003t4kvm9clh19n5,Красный перец,Red pepper
cmn7kdp9g002v4kvmw1l8tdgv,Крахмал,Starch
cmn7kcqva00114kvmey4is549,Креветки,Shrimp
cmo6sl28o001yedlxzsynhz2l,Креветки очищенные,Peeled shrimp
cmo6sl20b001aedlxwuboilut,Кролик,Rabbit
cmn7kd2ay001n4kvm1fkp21g9,Кукуруза,Corn
cmn7ketm000514kvmv0h9lzrf,Кукуруза консервированная,Canned corn
cmn7kdoqz002u4kvmd5y6amor,Кукурузная крупа,Cornmeal
cmo6sl365004jedlx0rwiwprw,Кукурузная мука,Corn flour
cmn7kekyy004k4kvmmwpymstk,Кунжут,Sesame
cmo6sl43a0078edlxljj19x55,Кунжут белый,White sesame
cmo6sl43m0079edlxcs2j8lv1,Кунжут чёрный,Black sesame
cmn7ke04a003g4kvm3e5hjlt8,Кунжутное масло,Sesame oil
cmn7kcfch000f4kvmz8mu76u3,Куриная грудка,Chicken breast
cmo6sl1za0017edlxr7wxq665,Куриная печень,Chicken liver
cmn7kcfvb000g4kvm6zyt1yxb,Куриное бедро,Chicken thigh
cmo6sl1yy0016edlxaksk52dm,Куриное филе,Chicken fillet
cmn7kdsu100324kvm1ckzyeo3,Куриное яйцо,Chicken egg
cmo6sl1zn0018edlxmvom4fzn,Куриные голени,Chicken drumsticks
cmn7kcgvs000i4kvm52e9cbvu,Куриные крылья,Chicken wings
cmn7kcgdi000h4kvmthirbrf5,Курица целая,Whole chicken
cmn7ke8zi003x4kvmnm5b9qjw,Куркума,Turmeric
cmn7kdnpj002s4kvm7bzrlveh,Кускус,Couscous
cmn7kdvj700374kvmfnkp9np2,Лаваш,Pita bread
cmn7kea06003z4kvm27se6ya8,Лавровый лист,Bay leaf
cmn7kdb7w00244kvm92a7gb2u,Лайм,Lime
cmo6sl34a004eedlx6o43h3br,Лапша,Noodles
cmn7kd6g2001v4kvm6s0f39m9,Лесные грибы,Wild mushrooms
cmn7kdapn00234kvmzczzlz8u,Лимон,Lemon
cmn7kd1s3001m4kvm09vhb05v,Листовой салат,Lettuce
cmo6sl36h004kedlx915ptyeg,Листы для лазаньи,Lasagna sheets
cmn7kcn7f000u4kvma3lad14g,Лосось,Salmon
cmn7kctzo00174kvmyruxrpao,Лук репчатый,Onion
cmn7kd3uq001q4kvm9pkhjktk,Лук-порей,Leek
cmo6sl3g6005cedlx3hwwh0fc,Льняное масло,Flaxseed oil
cmn7ke27p003k4kvmv2i8zamw,Майонез,Mayonnaise
cmo6sl42y0077edlxxzqerkh2,Мак,Poppy seeds
cmn7kdk3j002l4kvmujv57jcv,Макароны,Pasta
cmn7kdfcf002c4kvmap9pqoh1,Малина,Raspberry
cmn7kdeba002a4kvmw6r72yhr,Манго,Mango
cmo6sl2wb003sedlx4uqxr1fw,Мандарин,Tangerine
cmn7kdm5x002p4kvm1ybg8316,Манная крупа,Semolina
cmo6sl2nc0033edlx2ki8b3vq,Маринованные огурцы,Pickled cucumbers
cmo6sl1p5000fedlxcy8x8p24,Маскарпоне,Mascarpone
cmn7kevq400554kvmbcftekas,Маслины/оливки,Olives
cmo6sl3gt005eedlxoq8iql3j,Масло авокадо,Avocado oil
cmo6sl3gi005dedlxgm633dnz,Масло гхи,Ghee
cmn7kep0y004s4kvmytczot1e,Мёд,Honey
cmn7kcrx000134kvmvfsqxzcq,Мидии,Mussels
cmn7keje4004h4kvmqfu1dgrc,Миндаль,Almonds
cmo6sl1st000pedlxabak5dsg,Миндальное молоко,Almond milk
cmo6sl4f30087edlx53668zla,Минеральная вода,Sparkling water
cmn7kcptq000z4kvmespn0ey8,Минтай,Pollock
cmn7kc79r00004kvmhmbkghc7,Молоко,Milk
cmo6sl47t007ledlxr4mhd3vd,Молочный шоколад,Milk chocolate
cmn7kcv5700194kvmxyu7owrv,Морковь,Carrot
cmo6sl29c0020edlx0mju0rk1,Морской коктейль,Seafood mix
cmn7kcbqr00084kvmvtbujw8q,Моцарелла,Mozzarella
cmn7kec2m00434kvmytdim5vh,Мускатный орех,Nutmeg
cmn7kegoo004c4kvmd8fmn4yj,Мята,Mint
cmo6sl3mc005uedlxlzdetvew,Наршараб,Narsharab
cmn7kdqau002x4kvmcqr64roo,Нут,Chickpeas
cmo6sl1t5000qedlx1marax0m,Овсяное молоко,Oat milk
cmn7kdjkn002k4kvmrxig4lom,Овсяные хлопья,Oatmeal
cmn7kcwnu001c4kvmx8pwq4lz,Огурец,Cucumber
cmn7kdym1003d4kvmkvtoe7j8,Оливковое масло,Olive oil
cmn7keait00404kvmbv81ehbi,Орегано,Oregano
cmo6sl2mi0031edlx6vmvsz65,Острый перец,Hot pepper
cmn7ke3rs003n4kvmluagneou,Острый соус,Hot sauce
cmo6sl290001zedlx6lb6q760,Осьминог,Octopus
cmo6sl224001fedlxsbipg5ir,Охотничьи колбаски,Hunting sausages
cmo6sl27m001vedlxrwqs9yls,Палтус,Halibut
cmn7kdv0l00364kvmkt58aiw0,Панировочные сухари,Bread crumbs
cmn7ke7fp003u4kvmpmnhdu9c,Паприка,Paprika
cmn7kccrx000a4kvmklk3awq4,Пармезан,Parmesan
cmo6sl42b0075edlx8gh52lri,Пекан,Pecan
cmn7kd8lw001z4kvmicn9wktk,Пекинская капуста,Chinese cabbage
cmo6sl4gq008cedlxnzd7ymko,Пельмени,Pelmeni
cmn7kdtd100334kvmn5zofexm,Перепелиное яйцо,Quail egg
cmn7kdmob002q4kvmbm25za1x,Перловка,Pearl barley
cmn7kddst00294kvmhujtp48p,Персик,Peach
cmo6sl4cs0080edlxd15spr36,Персики консервированные,Canned peaches
cmo6sl3dp0055edlx2la0r6bv,Песочное тесто,Shortcrust pastry
cmn7kef4v00494kvmdhbkqv1e,Петрушка,Parsley
cmn7kcetq000e4kvms6omf4lb,Плавленый сыр,Processed cheese
cmn7kdy3r003c4kvmmrv3fptx,Подсолнечное масло,Sunflower oil
cmo6sl35r004iedlxl8982iul,Полба,Spelt
cmn7kcvne001a4kvmdyp44k5m,Помидор,Tomato
cmn7kcw5r001b4kvmloa7wqi0,Помидоры черри,Cherry tomatoes
cmo6sl1s4000nedlx9jxolw4d,Простокваша,Soured milk
cmn7kdl5a002n4kvml118a33c,Пшеничная мука,Wheat flour
cmn7kdn71002r4kvm0r1vm7wq,Пшено,Millet
cmn7kepj6004t4kvmoqje9p6t,Разрыхлитель,Baking powder
cmn7kdz3i003e4kvmmupic7sp,Растительное масло,Vegetable oil
cmn7kd4dh001r4kvmruklie39,Редис,Radish
cmo6sl2kg002vedlxfv0htvhq,Репа,Turnip
cmo6sl1qq000jedlx6j7yowee,Рикотта,Ricotta
cmn7kdigi002i4kvmu5dimsex,Рис,Rice
cmo6sl33l004cedlx3qc80x0z,Рис басмати,Basmati rice
cmo6sl33y004dedlxvpl0hh1f,Рис жасмин,Jasmine rice
cmo6sl34n004fedlxqk8uphgk,Рисовая лапша,Rice noodles
cmn7keh7d004d4kvm0vg5o0qm,Розмарин,Rosemary
cmn7kd83k001y4kvm51nxv19w,Руккола,Arugula
cmo6sl3kl005pedlxcv82d5e0,Рыбный соус,Fish sauce
cmn7kceas000d4kvmjxz3sxyh,Ряженка,Ryazhenka
cmo6sl2lt002zedlxkskdx9r6,Савойская капуста,Savoy cabbage
cmo6sl3yc006tedlxgfh7lybo,Салат айсберг,Iceberg lettuce
cmo6sl27z001wedlxh0zl82xc,Сардина,Sardine
cmo6sl4d40081edlxtbucy9zh,Сардины консервированные,Canned sardines
cmn7keo1y004q4kvm87cnpklu,Сахар,Sugar
cmn7keoj6004r4kvmyekhum0r,Сахарная пудра,Powdered sugar
cmn7kd07v001j4kvmx2rhqndp,Свёкла,Beetroot
cmo6sl21d001dedlxkc2linmj,Свиная вырезка,Pork tenderloin
cmn7kcjm2000n4kvmrns21i3w,Свинина,Pork
cmn7kchxt000k4kvm9qh920zr,Свиной фарш,Ground pork
cmn7kcmog000t4kvmojqubvpa,Свиные рёбра,Pork ribs
cmo6sl485007medlxdrpyjlat,Сгущёнка варёная,Boiled condensed milk
cmn7kcdss000c4kvmxyfphtzs,Сгущённое молоко,Condensed milk
cmn7kd0qt001k4kvmm1kx0m8l,Сельдерей,Celery
cmn7kcorl000x4kvm5ayev6sz,Сельдь,Herring
cmn7ken13004o4kvmncgm4uxq,Семена льна,Flax seeds
cmn7kemja004n4kvm0gl02neh,Семена тыквы,Pumpkin seeds
cmo6sl3v2006jedlxy7hvxwfr,Семена фенхеля,Fennel seeds
cmo6sl42m0076edlxpvmi2pqj,Семена чиа,Chia seeds
cmn7kekfw004j4kvm6gmrwyai,Семечки подсолнуха,Sunflower seeds
cmn7kcpao000y4kvm2w66z7z1,Скумбрия,Mackerel
cmo6sl2vl003qedlxfw7ghww6,Слива,Plum
cmn7kc8n700024kvmdoaq6pzp,Сливки,Cream
cmn7kc84f00014kvmktuqcizg,Сливочное масло,Butter
cmn7kcdae000b4kvmr4xfmfil,Сливочный сыр,Cream cheese
cmn7kdx1r003a4kvme66wa2a0,Слоёное тесто,Puff pastry
cmn7kc95z00034kvmiaw1xzca,Сметана,Sour cream
cmn7kcihl000l4kvm3vz5anx1,Смешанный фарш,Mixed ground meat
cmo6sl2uf003nedlxfayks082,Смородина,Currant
cmn7keq1o004u4kvm43zzyitt,Сода,Baking soda
cmn7ke0n7003h4kvm6xtwwvd3,Соевый соус,Soy sauce
cmo6sl4ge008bedlxvyc1dawy,Сок,Juice
cmo6sl4ds0083edlxze7a8ytq,Солёные огурцы,Pickled cucumbers
cmn7ke5u4003r4kvmnfoj49l5,Соль,Salt
cmo6sl21r001eedlxqpfheh3u,Сосиски,Sausages
cmo6sl3lz005tedlx5c31sd82,Соус барбекю,BBQ sauce
cmn7ke5be003q4kvmgp4tww5n,Соус песто,Pesto sauce
cmn7ke4sr003p4kvmsdfglcuw,Соус терияки,Teriyaki sauce
cmn7kdkme002m4kvm0t08blqb,Спагетти,Spaghetti
cmn7kd3ca001p4kvmp5bkmu3f,Спаржа,Asparagus
cmn7kdrsw00304kvmn5w19dl9,Стручковая фасоль,Green beans
cmn7kcqck00104kvmt07332s2,Судак,Pike perch
cmo6sl1qe000iedlxevv6s5u1,Сулугуни,Suluguni
cmo6sl3vf006kedlxje2fqjfn,Сумах,Sumac
cmn7kcb8f00074kvmr4421fx3,Сыр твёрдый,Hard cheese
cmo6sl3ln005sedlxlj7pw6yn,Сырный соус,Cheese sauce
cmo6sl3la005redlxifxkzqjd,Тахини,Tahini
cmn7kcapr00064kvmnueb3kja,Творог,Cottage cheese
cmo6sl20o001bedlxht6fn67g,Телятина,Veal
cmn7ker2f004w4kvmshbon6ra,Тёмный шоколад,Dark chocolate
cmo6sl3e10056edlxfm33z912,Тесто фило,Phyllo dough
cmn7keb1w00414kvmw5spljwn,Тимьян,Thyme
cmn7ke168003i4kvmdyqch4sa,Томатная паста,Tomato paste
cmn7ket4900504kvminxkwip8,Томаты консервированные,Canned tomatoes
cmo6sl3d10053edlxonwvg17q,Тортилья,Tortilla
cmn7kdw1f00384kvmo6f3zpkk,Тостовый хлеб,Toast bread
cmn7kco98000w4kvml4023g12,Треска,Cod
cmn7kev7t00544kvmvr2jkoc7,Тунец консервированный,Canned tuna
cmn7kcnqe000v4kvmqncj9z88,Тунец свежий,Fresh tuna
cmn7kd4w9001s4kvmm0czft50,Тыква,Pumpkin
cmn7keenu00484kvmvhr3f241,Укроп,Dill
cmn7ke394003m4kvmt608hgxi,Уксус,Vinegar
cmo6sl3ky005qedlxhl055ots,Устричный соус,Oyster sauce
cmo6sl1zz0019edlx8zd2h20h,Утка,Duck
cmo6sl399004sedlxh873z4gn,Фасоль в томате,Beans in tomato sauce
cmn7keuq300534kvma5z31tpg,Фасоль консервированная,Canned beans
cmn7kcc9a00094kvm4dvkz3s8,Фета,Feta
cmo6sl41y0074edlxhrz6qjjk,Фисташки,Pistachios
cmo6sl26k001sedlxo00akf6s,Форель,Trout
cmn7kenjf004p4kvmj798yyz3,Фундук,Hazelnut
cmo6sl350004gedlxywsn9yf5,Фунчоза,Glass noodles
cmo6sl2mu0032edlx7mv38sq2,Халапеньо,Jalapeño
cmo6sl279001uedlx863jvjst,Хек,Hake
cmo6sl3dd0054edlxvs2zguwg,Хлебцы,Crispbread
cmn7kee5100474kvmeps68g4c,Хмели-сунели,Khmeli-suneli
cmo6sl3n1005wedlxxkstek0x,Хрен,Horseradish
cmo6sl2x1003uedlxowv4bmgo,Хурма,Persimmon
cmn7kcype001g4kvmlqutq60u,Цветная капуста,Cauliflower
cmn7kdlnh002o4kvmepg4ow62,Цельнозерновая мука,Whole wheat flour
cmo6sl38v004redlxe0q0ywr3,Чёрная фасоль,Black beans
cmn7kdc9d00264kvmyvmx2g6d,Черника,Blueberry
cmn7ke6ck003s4kvmxgwh77ma,Чёрный перец,Black pepper
cmn7kdue600354kvmlmi6r3ha,Чёрный хлеб,Black bread
cmo6sl4fr0089edlxokuejsq0,Чёрный чай,Black tea
cmn7kcuia00184kvmvtaf1dol,Чеснок,Garlic
cmo6sl3tp006fedlxzfgi7n9t,Чесночный порошок,Garlic powder
cmn7kdps8002w4kvmwyakwd2t,Чечевица,Lentils
cmn7kd5xk001u4kvmbo9t29md,Шампиньоны,Champignons
cmo6sl3up006iedlxkpjrror8,Шафран,Saffron
cmo6sl49r007redlxw1luw7rk,Шоколадная паста,Chocolate spread
cmn7kd19j001l4kvmgi4l36bs,Шпинат,Spinach
cmo6sl4dg0082edlxmzm56bwn,Шпроты,Sprats
cmo6sl2m50030edlxjmdfty3l,Щавель,Sorrel
cmn7kehpv004e4kvmdjhqkknh,Эстрагон,Tarragon
cmn7kd95900204kvm0oq2pxwi,Яблоко,Apple
cmo6sl35e004hedlxeuiagcel,Ячневая крупа,Barley grits
